term,df,R Sum Sq,R Mean Sq,Iter,Pr(Prob),variable,invasion_status02
invasion,1,0.001244137641537524,0.001244137641537524,138,0.42028985507246375,X16s_pielou_e,native
distance,1,1.6103491653595875e-5,1.6103491653595875e-5,51,0.9607843137254902,X16s_pielou_e,native
invasion:distance,1,4.1424521873961636e-4,4.1424521873961636e-4,51,0.8823529411764706,X16s_pielou_e,native
Residuals,30,0.09274023553259243,0.0030913411844197478,NA,NA,X16s_pielou_e,native
soil_moist,1,0.0015960542320310655,0.0015960542320310655,933,0.09753483386923902,X16s_simpson,native
totalC,1,0.0010261327953688102,0.0010261327953688102,697,0.12625538020086083,X16s_simpson,native
totalN,1,8.804366229284642e-4,8.804366229284642e-4,697,0.12625538020086083,X16s_simpson,native
totalP,1,0.0010121054695944127,0.0010121054695944127,2075,0.04626506024096386,X16s_simpson,native
totalK,1,0.003350967785426798,0.003350967785426798,5000,0.0026,X16s_simpson,native
invasion,1,0.001016489493860613,0.001016489493860613,967,0.09410548086866598,X16s_simpson,native
distance,1,2.2092876865927995e-4,2.2092876865927995e-4,98,0.5102040816326531,X16s_simpson,native
invasion:distance,1,1.1660792983169802e-4,1.1660792983169802e-4,51,0.8235294117647058,X16s_simpson,native
Residuals,30,0.011925785194021505,3.9752617313405016e-4,NA,NA,X16s_simpson,native
soil_moist,1,1268.7504470351237,1268.7504470351237,533,0.15947467166979362,local_aboveground_mass,non_invasive
totalC,1,100.61761474916713,100.61761474916713,51,0.7058823529411765,local_aboveground_mass,non_invasive
totalN,1,63.59821807729792,63.59821807729792,51,0.9607843137254902,local_aboveground_mass,non_invasive
totalP,1,413.13546991255566,413.13546991255566,95,0.5157894736842106,local_aboveground_mass,non_invasive
totalK,1,312.2238800413793,312.2238800413793,51,0.7058823529411765,local_aboveground_mass,non_invasive
invasion,1,362.7933894165239,362.7933894165239,100,0.5,local_aboveground_mass,non_invasive
distance,1,769.8322157882639,769.8322157882639,282,0.2624113475177305,local_aboveground_mass,non_invasive
invasion:distance,1,1342.295733344212,1342.295733344212,350,0.22285714285714286,local_aboveground_mass,non_invasive
Residuals,22,13469.286159168354,612.2402799621979,NA,NA,local_aboveground_mass,non_invasive
soil_moist,1,1694.3457253327115,1694.3457253327115,242,0.29338842975206614,local_no.plants,non_invasive
totalC,1,865.169042115887,865.169042115887,66,0.6060606060606061,local_no.plants,non_invasive
totalN,1,1621.3361017863692,1621.3361017863692,137,0.4233576642335766,local_no.plants,non_invasive
totalP,1,6226.96044749627,6226.96044749627,283,0.26148409893992935,local_no.plants,non_invasive
totalK,1,18778.68211333182,18778.68211333182,3743,0.026182206786000535,local_no.plants,non_invasive
invasion,1,3332.448929587956,3332.448929587956,110,0.4818181818181818,local_no.plants,non_invasive
distance,1,59.04326081596161,59.04326081596161,51,0.9215686274509803,local_no.plants,non_invasive
invasion:distance,1,36.70566642618785,36.70566642618785,51,0.9803921568627451,local_no.plants,non_invasive
Residuals,22,97979.13285514394,4453.596947961088,NA,NA,local_no.plants,non_invasive
soil_moist,1,1526.0393264825689,1526.0393264825689,1207,0.07705053852526926,local_coverage_perc,non_invasive
totalC,1,244.86404675348817,244.86404675348817,194,0.3402061855670103,local_coverage_perc,non_invasive
totalN,1,478.1265084255172,478.1265084255172,219,0.3150684931506849,local_coverage_perc,non_invasive
totalP,1,136.48098174042104,136.48098174042104,51,0.7254901960784313,local_coverage_perc,non_invasive
totalK,1,773.2616226513776,773.2616226513776,465,0.17849462365591398,local_coverage_perc,non_invasive
invasion,1,2769.4993278689326,2769.4993278689326,4176,0.02346743295019157,local_coverage_perc,non_invasive
distance,1,114.53430999131582,114.53430999131582,51,0.7647058823529411,local_coverage_perc,non_invasive
invasion:distance,1,476.4513443551715,476.4513443551715,169,0.3727810650887574,local_coverage_perc,non_invasive
Residuals,22,11224.379877092792,510.19908532239964,NA,NA,local_coverage_perc,non_invasive
soil_moist,1,0.22745086692617564,0.22745086692617564,51,1,richness,non_invasive
totalC,1,0.08032219623013766,0.08032219623013766,51,1,richness,non_invasive
totalN,1,6.053677649607821e-4,6.053677649607821e-4,51,1,richness,non_invasive
totalP,1,0.14293856757567186,0.14293856757567186,53,0.660377358490566,richness,non_invasive
totalK,1,0.11379343788705172,0.11379343788705172,51,0.6666666666666666,richness,non_invasive
invasion,1,3.1076968021013167,3.1076968021013167,1351,0.0695780903034789,richness,non_invasive
distance,1,0.002763846844700085,0.002763846844700085,51,0.9019607843137255,richness,non_invasive
invasion:distance,1,1.053009621485807,1.053009621485807,240,0.29583333333333334,richness,non_invasive
Residuals,22,17.249497630103676,0.7840680740956216,NA,NA,richness,non_invasive
soil_moist,1,0.15791251758358782,0.15791251758358782,1030,0.08932038834951456,evenness,non_invasive
totalC,1,0.056390569514077664,0.056390569514077664,291,0.25773195876288657,evenness,non_invasive
totalN,1,0.02978331325751153,0.02978331325751153,102,0.5,evenness,non_invasive
totalP,1,0.06278112757658251,0.06278112757658251,397,0.20151133501259447,evenness,non_invasive
totalK,1,0.004489607913403278,0.004489607913403278,51,0.803921568627451,evenness,non_invasive
invasion,1,0.1257417698138121,0.1257417698138121,786,0.11323155216284987,evenness,non_invasive
distance,1,0.0027718519609194895,0.0027718519609194895,51,0.9215686274509803,evenness,non_invasive
invasion:distance,1,0.0013156698382572611,0.0013156698382572611,51,0.7843137254901961,evenness,non_invasive
Residuals,6,0.21630323510926894,0.036050539184878154,NA,NA,evenness,non_invasive
soil_moist,1,0.14992528608779396,0.14992528608779396,2296,0.041811846689895474,simpson_index,non_invasive
totalC,1,0.04422891652667367,0.04422891652667367,295,0.2542372881355932,simpson_index,non_invasive
totalN,1,0.022332652141084697,0.022332652141084697,98,0.5102040816326531,simpson_index,non_invasive
totalP,1,0.026368728758106023,0.026368728758106023,481,0.17255717255717257,simpson_index,non_invasive
totalK,1,0.028382445796774996,0.028382445796774996,361,0.2188365650969529,simpson_index,non_invasive
invasion,1,0.11580636700112891,0.11580636700112891,1754,0.05416191562143672,simpson_index,non_invasive
distance,1,1.3906582960485932e-4,1.3906582960485932e-4,51,0.9803921568627451,simpson_index,non_invasive
invasion:distance,1,1.9523052860078452e-4,1.9523052860078452e-4,51,0.9019607843137255,simpson_index,non_invasive
Residuals,6,0.11808956887357268,0.019681594812262112,NA,NA,simpson_index,non_invasive
soil_moist,1,149128.13564840995,149128.13564840995,246,0.2926829268292683,its_observed_features,non_invasive
totalC,1,141030.2645033958,141030.2645033958,170,0.37058823529411766,its_observed_features,non_invasive
totalN,1,119706.3500826477,119706.3500826477,84,0.5476190476190477,its_observed_features,non_invasive
totalP,1,8075.613299359437,8075.613299359437,51,0.8627450980392157,its_observed_features,non_invasive
totalK,1,180045.60150113804,180045.60150113804,334,0.23053892215568864,its_observed_features,non_invasive
invasion,1,102853.10666773265,102853.10666773265,69,0.5942028985507246,its_observed_features,non_invasive
distance,1,78445.60218430002,78445.60218430002,68,0.6029411764705882,its_observed_features,non_invasive
invasion:distance,1,172681.7155475413,172681.7155475413,248,0.2903225806451613,its_observed_features,non_invasive
Residuals,22,3395353.256997493,154334.2389544315,NA,NA,its_observed_features,non_invasive
soil_moist,1,0.004102732554371801,0.004102732554371801,228,0.30701754385964913,its_pielou_e,non_invasive
totalC,1,0.0019071194402121659,0.0019071194402121659,225,0.3111111111111111,its_pielou_e,non_invasive
totalN,1,0.0036835748705514714,0.0036835748705514714,465,0.17849462365591398,its_pielou_e,non_invasive
totalP,1,0.006950975054363553,0.006950975054363553,338,0.23076923076923078,its_pielou_e,non_invasive
totalK,1,3.7962483615254146e-5,3.7962483615254146e-5,51,0.7647058823529411,its_pielou_e,non_invasive
invasion,1,1.0843056042060209e-4,1.0843056042060209e-4,51,0.7254901960784313,its_pielou_e,non_invasive
distance,1,6.500900099641351e-4,6.500900099641351e-4,51,0.9019607843137255,its_pielou_e,non_invasive
invasion:distance,1,0.001261968143807766,0.001261968143807766,51,0.803921568627451,its_pielou_e,non_invasive
Residuals,22,0.04961457247404966,0.0022552078397295302,NA,NA,its_pielou_e,non_invasive
soil_moist,1,3.183362916663786e-4,3.183362916663786e-4,315,0.24126984126984127,its_simpson,non_invasive
totalC,1,6.467289192353148e-4,6.467289192353148e-4,648,0.13425925925925927,its_simpson,non_invasive
totalN,1,0.0011543425713404507,0.0011543425713404507,1141,0.08063102541630149,its_simpson,non_invasive
totalP,1,0.0024350275333099992,0.0024350275333099992,5000,0.0102,its_simpson,non_invasive
totalK,1,4.502496819749927e-5,4.502496819749927e-5,51,0.6666666666666666,its_simpson,non_invasive
invasion,1,4.59648217533224e-6,4.59648217533224e-6,51,0.8431372549019608,its_simpson,non_invasive
distance,1,4.9100832570576704e-5,4.9100832570576704e-5,65,0.6153846153846154,its_simpson,non_invasive
invasion:distance,1,3.1784996995830995e-4,3.1784996995830995e-4,51,0.6666666666666666,its_simpson,non_invasive
Residuals,22,0.006581553555611557,2.9916152525507077e-4,NA,NA,its_simpson,non_invasive
soil_moist,1,98078.30609788228,98078.30609788228,117,0.46153846153846156,X16s_observed_features,non_invasive
totalC,1,2121.172979843308,2121.172979843308,51,0.9215686274509803,X16s_observed_features,non_invasive
totalN,1,9352.213465004837,9352.213465004837,51,0.8431372549019608,X16s_observed_features,non_invasive
totalP,1,198247.0954276017,198247.0954276017,136,0.4264705882352941,X16s_observed_features,non_invasive
totalK,1,687641.1244988949,687641.1244988949,834,0.1079136690647482,X16s_observed_features,non_invasive
invasion,1,50509.36292312208,50509.36292312208,51,0.8431372549019608,X16s_observed_features,non_invasive
distance,1,83574.85566309816,83574.85566309816,51,0.8235294117647058,X16s_observed_features,non_invasive
invasion:distance,1,577577.151468487,577577.151468487,61,0.6229508196721312,X16s_observed_features,non_invasive
Residuals,22,7343942.548146577,333815.5703702989,NA,NA,X16s_observed_features,non_invasive
soil_moist,1,1.0470311229725387e-5,1.0470311229725387e-5,51,0.9607843137254902,X16s_pielou_e,non_invasive
totalC,1,1.9460932443847892e-7,1.9460932443847892e-7,51,1,X16s_pielou_e,non_invasive
totalN,1,1.4569053521924464e-5,1.4569053521924464e-5,51,0.8431372549019608,X16s_pielou_e,non_invasive
totalP,1,8.639950523480029e-4,8.639950523480029e-4,119,0.46218487394957986,X16s_pielou_e,non_invasive
totalK,1,0.00115105078550349,0.00115105078550349,74,0.581081081081081,X16s_pielou_e,non_invasive
invasion,1,1.4585877440248106e-5,1.4585877440248106e-5,51,1,X16s_pielou_e,non_invasive
distance,1,0.001187295908568733,0.001187295908568733,55,0.6545454545454545,X16s_pielou_e,non_invasive
invasion:distance,1,2.457039188134493e-4,2.457039188134493e-4,51,0.6666666666666666,X16s_pielou_e,non_invasive
Residuals,22,0.061609607868439616,0.00280043672129271,NA,NA,X16s_pielou_e,non_invasive
soil_moist,1,3.196174898427214e-5,3.196174898427214e-5,80,0.5625,X16s_simpson,non_invasive
totalC,1,4.363831582686655e-6,4.363831582686655e-6,56,0.6428571428571429,X16s_simpson,non_invasive
totalN,1,3.5058516652364887e-6,3.5058516652364887e-6,85,0.5411764705882353,X16s_simpson,non_invasive
totalP,1,3.389939629932597e-5,3.389939629932597e-5,115,0.46956521739130436,X16s_simpson,non_invasive
totalK,1,5.0966292445263724e-5,5.0966292445263724e-5,55,0.6545454545454545,X16s_simpson,non_invasive
invasion,1,1.2986572027437185e-5,1.2986572027437185e-5,51,0.9019607843137255,X16s_simpson,non_invasive
distance,1,6.733156913797324e-5,6.733156913797324e-5,88,0.5340909090909091,X16s_simpson,non_invasive
invasion:distance,1,1.1227333304766707e-5,1.1227333304766707e-5,51,0.8235294117647058,X16s_simpson,non_invasive
Residuals,22,0.0018600467467481704,8.454757939764411e-5,NA,NA,X16s_simpson,non_invasive
